Year, Week, [18.4491119384766 -66.0930480957031], [18.4991111755371 -66.0930480957031], [18.4491119384766 -66.1430511474609], [18.4991111755371 -66.1430511474609]
1982, 5, 1.991500e-01, NaN, 1.485167e-01, 6.710000e-02
1982, 6, 1.648429e-01, 2.038000e-01, 1.538429e-01, 2.117333e-01
1982, 7, 1.917500e-01, 1.643000e-01, 2.322833e-01, 1.647500e-01
1982, 8, 3.402714e-01, 2.710000e-01, 2.963429e-01, 2.325600e-01
1982, 9, 2.180200e-01, 2.526500e-01, 2.420500e-01, NaN
1982, 10, 1.826833e-01, 2.697000e-01, 1.637429e-01, 1.845000e-01
1982, 11, 2.659600e-01, 2.146500e-01, 3.322833e-01, 2.727000e-01
1982, 12, 3.079833e-01, 2.790500e-01, 3.183000e-01, 1.455000e-01
1982, 13, 1.624286e-01, 7.603333e-02, 1.710714e-01, 8.190000e-02
1982, 14, 1.702714e-01, 9.200000e-02, 1.431571e-01, 9.603333e-02
1982, 15, 1.513429e-01, 1.272000e-01, 1.385000e-01, 1.573400e-01
1982, 16, 2.479500e-01, 1.044000e-01, 2.315750e-01, 1.771500e-01
1982, 17, 1.621167e-01, 1.520500e-01, 1.404500e-01, 8.955000e-02
1982, 18, 1.428250e-01, 1.086000e-01, 9.975000e-02, 8.050000e-02
1982, 19, 6.275714e-02, 3.000000e-02, 8.526667e-02, 3.493333e-02
1982, 20, 1.361857e-01, -1.232000e-01, 1.177143e-01, 5.842500e-02
1982, 21, 1.086714e-01, 1.023000e-01, 1.161429e-01, 1.044000e-01
1982, 22, 8.204286e-02, NaN, 7.545714e-02, 2.450000e-02
1982, 23, 1.629667e-01, 1.358500e-01, 1.509333e-01, 1.302833e-01
1982, 24, 1.845000e-01, 1.533000e-01, 1.731857e-01, 1.335250e-01
1982, 25, 1.595857e-01, 1.377000e-01, 1.363429e-01, 1.412667e-01
1982, 26, 1.456000e-01, 1.968000e-01, 1.584600e-01, 1.723000e-01
1982, 27, 1.706143e-01, 9.700000e-02, 1.775714e-01, 1.058333e-01
1982, 28, 1.583000e-01, 1.650000e-01, 1.411000e-01, 1.192000e-01
1982, 29, 1.751143e-01, NaN, 1.586143e-01, 1.756500e-01
1982, 30, 1.774250e-01, 1.745000e-01, 1.657200e-01, 1.500500e-01
1982, 31, 1.830000e-01, NaN, 2.095571e-01, 1.468800e-01
1982, 32, 1.643167e-01, 1.362000e-01, 2.682800e-01, 7.260000e-02
1982, 33, 1.738000e-01, 1.200333e-01, 1.428167e-01, 9.573333e-02
1982, 34, 1.894429e-01, 1.426000e-01, 1.823857e-01, 1.795500e-01
1982, 35, 1.980143e-01, 1.230000e-01, 1.578143e-01, 1.045000e-01
1982, 36, 2.035000e-01, 1.742000e-01, 1.965857e-01, 1.311000e-01
1982, 37, 1.597500e-01, NaN, 1.639167e-01, 1.203000e-01
1982, 38, 2.033286e-01, 1.998000e-01, 2.035714e-01, 1.223500e-01
1982, 39, 2.854667e-01, 2.375000e-01, 3.009000e-01, 2.604000e-01
1982, 40, 1.928500e-01, 7.695000e-02, 1.676333e-01, 9.266667e-02
1982, 41, 1.830286e-01, 2.034000e-01, 1.828571e-01, 2.016667e-01
1982, 42, 2.139286e-01, 2.860000e-01, 1.979286e-01, 1.188333e-01
1982, 43, 2.122167e-01, NaN, 1.713333e-01, -1.473000e-01
1982, 44, 2.614571e-01, 2.157500e-01, 1.729429e-01, 1.729500e-01
1982, 45, 2.406000e-01, NaN, 1.709400e-01, 1.501333e-01
1982, 46, 1.207286e-01, 1.760500e-01, 8.498571e-02, 1.242667e-01
1982, 47, 9.252000e-02, 4.070000e-02, 8.330000e-02, 1.609000e-01
1982, 48, 1.249143e-01, 1.809000e-01, 1.055000e-01, 1.024750e-01
1982, 49, 2.080286e-01, NaN, 1.941429e-01, 2.514000e-01
1982, 50, 2.367000e-01, 2.550000e-01, 1.834333e-01, -2.180000e-02
1982, 51, 1.948429e-01, 2.194333e-01, 1.673714e-01, 1.583000e-01
1982, 52, 1.297625e-01, 2.709000e-01, 9.412500e-02, 1.054000e-01
1983, 1, 1.581167e-01, 1.209000e-01, 1.145571e-01, -2.885000e-02
1983, 2, 2.496000e-01, 1.616000e-01, 2.168000e-01, 1.538333e-01
1983, 3, 3.161429e-01, 2.701000e-01, 3.157571e-01, 2.293333e-01
1983, 4, 1.867857e-01, 3.620000e-01, 1.936571e-01, 1.833250e-01
1983, 5, 2.393667e-01, 2.400000e-02, 2.280500e-01, 2.400000e-02
1983, 6, 3.078143e-01, 1.609000e-01, 3.254143e-01, 1.624000e-01
1983, 7, 1.682714e-01, NaN, 1.565143e-01, NaN
1983, 8, 1.503667e-01, NaN, 1.427571e-01, 6.950000e-02
1983, 9, 1.467250e-01, 1.149000e-01, 1.473800e-01, 1.557667e-01
1983, 10, 2.620857e-01, 2.019000e-01, 2.238857e-01, 1.363667e-01
1983, 11, 1.834429e-01, NaN, 2.035000e-01, 6.630000e-02
1983, 12, 2.783429e-01, 3.607000e-01, 2.915429e-01, 1.944750e-01
1983, 13, 1.959667e-01, 7.740000e-02, 1.929429e-01, 1.394000e-01
1983, 14, 1.460429e-01, -8.390000e-02, 1.564857e-01, -1.113000e-01
1983, 15, 1.917429e-01, 1.523000e-01, 1.751286e-01, 1.481000e-01
1983, 16, 1.435857e-01, 9.030000e-02, 1.176714e-01, 1.714000e-01
1983, 17, 2.260429e-01, 9.005000e-02, 2.496833e-01, 1.381000e-01
1983, 18, 1.020571e-01, 1.161000e-01, 1.053714e-01, 1.250000e-01
1983, 19, 1.398500e-01, 1.132500e-01, 1.051333e-01, 7.695000e-02
1983, 20, 6.141667e-02, 5.980000e-02, 7.465000e-02, 5.326667e-02
1983, 21, 1.783333e-01, 8.930000e-02, 1.716667e-01, 2.086333e-01
1983, 22, 1.997000e-01, 2.077750e-01, 2.218429e-01, 1.048250e-01
1983, 23, 2.091286e-01, 1.832000e-01, 1.738286e-01, 1.155667e-01
1983, 24, 2.660571e-01, 1.173500e-01, 2.594714e-01, 1.165000e-01
1983, 25, 2.563000e-01, 1.834500e-01, 2.162500e-01, 1.590667e-01
1983, 26, 2.020429e-01, 1.513333e-01, 2.142143e-01, 1.318750e-01
1983, 27, 7.740000e-02, 9.343333e-02, 8.762857e-02, 1.037600e-01
1983, 28, 2.238571e-01, 1.410500e-01, 2.105429e-01, 9.840000e-02
1983, 29, 1.676714e-01, 9.863333e-02, 1.936000e-01, 1.371333e-01
1983, 30, 2.418286e-01, NaN, 2.136000e-01, 1.244000e-01
1983, 31, 1.567714e-01, -6.120000e-02, 1.924286e-01, 2.016500e-01
1983, 32, 2.084600e-01, 1.626500e-01, 1.952200e-01, 1.413500e-01
1983, 33, 1.568286e-01, 1.973000e-01, 1.629286e-01, 1.432667e-01
1983, 34, 2.271000e-01, 1.712000e-01, 2.213500e-01, 6.050000e-02
1983, 35, 1.346286e-01, 1.158500e-01, 1.219571e-01, 1.277500e-01
1983, 36, 1.786667e-01, 4.490000e-02, 1.504286e-01, 8.082500e-02
1983, 37, 2.797571e-01, 1.812000e-01, 1.692857e-01, 1.244333e-01
1983, 38, 1.268571e-01, 1.812000e-01, 1.222143e-01, 1.864000e-01
1983, 39, 1.576714e-01, -4.390000e-02, 2.069143e-01, 8.687500e-02
1983, 40, 2.882500e-01, 2.844000e-01, 2.649000e-01, 2.153667e-01
1983, 41, 2.294714e-01, 3.310000e-01, 1.489429e-01, 8.150000e-02
1983, 42, 1.588500e-01, 1.484500e-01, 1.175143e-01, 1.339500e-01
1983, 43, 2.973500e-01, 1.913000e-01, 2.794333e-01, 2.185000e-01
1983, 44, 2.561000e-01, 2.812000e-01, 2.140500e-01, NaN
1983, 45, 2.349200e-01, 1.587500e-01, 1.799667e-01, 2.909000e-01
1983, 46, 3.402500e-01, 2.221000e-01, 3.251000e-01, 1.220000e-01
1983, 47, 3.583429e-01, 3.290500e-01, 3.076000e-01, 2.826500e-01
1983, 48, 3.216000e-01, 1.317000e-01, 2.398857e-01, 1.861750e-01
1983, 49, 1.913714e-01, 1.112500e-01, 1.839714e-01, 4.164000e-01
1983, 50, 2.193286e-01, 1.465000e-01, 1.466571e-01, 2.231750e-01
1983, 51, 3.179571e-01, 8.060000e-02, 2.598000e-01, 1.127500e-01
1983, 52, 1.982000e-01, -2.315000e-01, 1.769667e-01, -2.787000e-01
1984, 1, 3.018667e-01, NaN, 3.106571e-01, 2.544200e-01
1984, 2, 1.814500e-01, NaN, 6.755000e-02, 2.000000e-04
1984, 3, 2.262000e-01, -4.450000e-02, 1.686333e-01, 1.530667e-01
1984, 4, 2.476600e-01, NaN, 2.685500e-01, 3.268000e-01
1984, 5, 3.474500e-01, 2.205000e-01, 3.902000e-01, 3.121500e-01
1984, 6, 1.719000e-01, 4.030000e-02, 1.097857e-01, 6.736667e-02
1984, 7, 1.213500e-01, 1.034000e-01, 1.216500e-01, NaN
1984, 8, 1.752667e-01, 9.790000e-02, 1.689333e-01, 1.834500e-01
1984, 9, 3.330333e-01, 9.850000e-02, 3.291667e-01, 9.090000e-02
1984, 10, 2.274286e-01, 2.643000e-01, 2.007857e-01, 2.717000e-01
1984, 11, 2.226833e-01, 1.224000e-01, 2.136333e-01, 1.939500e-01
1984, 12, 2.253333e-01, 7.425000e-02, 2.164500e-01, 6.445000e-02
1984, 13, 1.989333e-01, 9.220000e-02, 1.875833e-01, 1.110000e-01
1984, 14, 1.827000e-01, NaN, 2.042500e-01, 1.250000e-01
1984, 15, 1.421250e-01, 2.213000e-01, 1.732800e-01, 1.792000e-01
1984, 16, 2.116000e-01, 1.373000e-01, 1.917714e-01, 1.415000e-01
1984, 17, 1.471857e-01, -4.720000e-02, 1.273286e-01, 5.634000e-02
1984, 18, 1.732667e-01, -6.400000e-03, 1.724500e-01, NaN
1984, 19, 2.630429e-01, 1.876000e-01, 2.668286e-01, 1.786000e-01
1984, 20, 1.956143e-01, 1.606500e-01, 1.822000e-01, 1.064333e-01
1984, 21, 9.568571e-02, NaN, 9.135714e-02, 1.084500e-01
1984, 22, 1.991000e-01, NaN, 1.668714e-01, 1.441250e-01
1984, 23, 6.016667e-02, 2.175000e-02, 5.590000e-02, 2.813333e-02
1984, 24, 1.637167e-01, 1.447667e-01, 1.683833e-01, 1.225000e-01
1984, 25, 1.169429e-01, 4.390000e-02, 1.228143e-01, 1.570000e-02
1984, 26, 2.731000e-01, 1.361750e-01, 2.575286e-01, 1.547667e-01
1984, 27, 1.671167e-01, 9.000000e-02, 1.390167e-01, 1.554250e-01
1984, 28, 1.998857e-01, 1.822500e-01, 1.732571e-01, 1.378000e-01
1984, 29, 1.704167e-01, 2.340000e-01, 1.420333e-01, 1.537000e-01
1984, 30, 1.597714e-01, 1.351000e-01, 1.723714e-01, 1.980000e-01
1984, 31, 1.236333e-01, 9.855000e-02, 1.411333e-01, 1.244500e-01
1984, 32, 2.928333e-01, 2.551000e-01, 2.836143e-01, 2.696667e-01
1984, 33, 2.102857e-01, 1.469000e-01, 1.659000e-01, 1.516750e-01
1984, 34, 2.007714e-01, 1.832500e-01, 1.595000e-01, 1.571667e-01
1984, 35, 2.119857e-01, -2.000000e-02, 2.071000e-01, 1.353250e-01
1984, 36, 1.224167e-01, 1.261667e-01, 1.226833e-01, 1.009000e-01
1984, 37, 3.895000e-02, NaN, 1.816667e-02, 8.380000e-02
1984, 38, 1.038667e-01, 1.192000e-01, 1.104571e-01, 8.693333e-02
1984, 39, 2.125571e-01, 2.946667e-02, 2.005143e-01, 9.303333e-02
1984, 40, 8.032000e-02, 2.130000e-02, 5.518000e-02, 6.460000e-02
1984, 41, 1.650167e-01, 2.905000e-02, 1.705000e-01, 9.765000e-02
1984, 42, 8.328333e-02, NaN, 9.056667e-02, 6.645000e-02
1984, 43, 2.615200e-01, NaN, 1.638800e-01, 1.208000e-01
1984, 44, 1.179750e-01, 1.582333e-01, 1.369500e-01, 1.695000e-01
1984, 45, 1.236857e-01, 1.296000e-01, 6.642857e-02, 1.065200e-01
1984, 46, 1.325714e-01, -6.933333e-02, 1.174571e-01, -5.132000e-02
1984, 47, 1.197714e-01, 6.840000e-02, 1.119143e-01, 1.214500e-01
1984, 48, 1.354333e-01, 3.980000e-02, 1.327833e-01, 6.565000e-02
1984, 49, 2.293750e-01, NaN, 8.557500e-02, -4.550000e-02
1984, 50, 2.126000e-01, 7.430000e-02, 1.615714e-01, 5.000000e-05
1984, 51, 1.127833e-01, NaN, 1.543333e-01, 5.500000e-02
1984, 52, 1.641600e-01, NaN, 1.203000e-01, 1.543500e-01
1985, 1, 2.557000e-01, NaN, 2.444000e-01, -1.443000e-01
1985, 2, 2.602000e-01, NaN, 2.362714e-01, -7.300000e-03
1985, 3, 2.610714e-01, NaN, 2.533571e-01, -2.350000e-02
1985, 4, 2.722833e-01, -1.105000e-01, 2.489167e-01, -2.470000e-02
1985, 5, 2.247000e-01, -1.570000e-02, 2.492000e-01, 2.358000e-02
1985, 6, 3.491000e-01, NaN, 2.556000e-01, 1.159000e-01
1985, 7, 1.606143e-01, NaN, 1.698286e-01, 4.480000e-02
1985, 8, 2.024200e-01, 1.070000e-02, 2.051000e-01, 4.486667e-02
1985, 9, 2.476333e-01, -1.608000e-01, 2.143833e-01, -4.255000e-02
1985, 10, 1.850429e-01, NaN, 1.795286e-01, 1.031333e-01
1985, 11, 1.791400e-01, 3.510000e-02, 1.865200e-01, 1.267667e-01
1985, 12, 2.362333e-01, 2.065000e-02, 1.846000e-01, 4.750000e-04
1985, 13, 1.695714e-01, -8.030000e-02, 1.504000e-01, 3.510000e-02
1985, 14, 2.668143e-01, -5.400000e-02, 2.832857e-01, 2.040000e-02
1985, 15, 1.641833e-01, -1.043500e-01, 1.859833e-01, 3.446667e-02
1985, 16, 2.388200e-01, 5.330000e-02, 1.947000e-01, 1.042500e-01
1985, 17, 2.067286e-01, -3.965000e-02, 1.585143e-01, -3.135000e-02
1985, 18, 1.359500e-01, -4.020000e-02, 8.645000e-02, 7.076667e-02
1985, 19, 1.000800e-01, 1.140500e-01, 1.059167e-01, 1.552000e-01
1985, 20, 1.143333e-01, 4.785000e-02, 9.808333e-02, 4.770000e-02
1985, 21, 2.958167e-01, 6.320000e-02, 2.637429e-01, 7.940000e-02
1985, 22, 2.053571e-01, -2.010000e-02, 1.951571e-01, 3.825000e-02
1985, 23, 1.428714e-01, NaN, 1.403000e-01, 5.090000e-02
1985, 24, 2.126833e-01, NaN, 1.979000e-01, 5.820000e-02
1985, 25, 1.870600e-01, NaN, 1.562600e-01, 7.480000e-02
1985, 26, 2.199714e-01, NaN, 2.290571e-01, 8.922500e-02
1985, 27, 1.973333e-01, 1.006000e-01, 2.115000e-01, 1.573000e-01
1985, 28, 2.594857e-01, 1.907000e-01, 2.131286e-01, 1.212000e-01
1985, 29, 1.937429e-01, 5.315000e-02, 1.937429e-01, 1.041000e-01
1985, 30, 2.372833e-01, NaN, 2.064333e-01, 6.610000e-02
1985, 31, 2.388000e-01, NaN, 2.190500e-01, 1.251000e-01
1985, 32, 1.950500e-01, -8.480000e-02, 1.948571e-01, 2.830000e-02
1985, 33, 2.324333e-01, NaN, 2.005667e-01, 1.077667e-01
1985, 34, 1.737800e-01, 1.072000e-01, 2.018200e-01, -1.360000e-02
1985, 35, 2.655667e-01, 4.583333e-02, 2.182500e-01, 5.246667e-02
1985, 36, 2.002571e-01, 7.455000e-02, 2.047500e-01, 6.160000e-02
1985, 37, 1.175143e-01, 2.205500e-01, 1.270143e-01, 1.300333e-01
1985, 38, 1.764000e-01, 8.466667e-02, 1.646571e-01, 1.170800e-01
1985, 39, 1.585714e-01, 1.309000e-01, 1.383571e-01, 1.255000e-01
1985, 40, 1.376833e-01, 9.050000e-02, 8.586667e-02, 4.366667e-02
1985, 41, 2.438143e-01, NaN, 2.326714e-01, 1.336800e-01
1985, 42, 3.377000e-01, 9.000000e-02, 3.439286e-01, 1.452667e-01
1985, 43, 1.273667e-01, 3.255000e-02, 1.286000e-01, 9.377500e-02
1985, 44, 1.804000e-01, -8.403333e-02, 2.385857e-01, 2.340000e-02
1985, 45, 3.245500e-01, 3.570000e-02, 3.062000e-01, -4.000000e-03
1985, 46, 1.503400e-01, 1.507500e-02, 1.009333e-01, -3.270000e-02
1985, 47, 1.962857e-01, 6.100000e-02, 1.855000e-01, -1.843333e-02
1985, 48, 2.657000e-01, NaN, 1.800143e-01, NaN
1985, 49, 2.377500e-01, 1.103000e-01, 2.097429e-01, 2.146000e-01
1985, 50, 2.072667e-01, -8.320000e-02, 2.070500e-01, 4.445000e-02
1985, 51, 2.829000e-01, 8.470000e-02, 2.403429e-01, -2.557500e-02
1985, 52, 3.333375e-01, 9.860000e-02, 2.323500e-01, 4.419000e-01
1986, 1, 3.082167e-01, NaN, 2.446833e-01, 9.805000e-02
1986, 2, 3.026667e-01, 1.054000e-01, 2.757167e-01, 9.080000e-02
1986, 3, 2.105714e-01, 8.383333e-02, 1.833571e-01, 2.985000e-02
1986, 4, 3.247143e-01, -1.606000e-01, 2.713143e-01, -4.715000e-02
1986, 5, 1.876000e-01, 6.695000e-02, 1.493143e-01, 1.033333e-03
1986, 6, 2.361000e-01, NaN, 2.387800e-01, 4.520000e-02
1986, 7, 2.733143e-01, 4.860000e-02, 2.275429e-01, 4.860000e-02
1986, 8, 2.422286e-01, NaN, 1.712000e-01, 9.930000e-02
1986, 9, 2.844167e-01, 3.940000e-02, 2.294000e-01, 7.890000e-02
1986, 10, 1.479667e-01, 8.015000e-02, 2.072571e-01, 1.234500e-01
1986, 11, 2.075800e-01, -2.310000e-02, 1.758000e-01, 3.103333e-02
1986, 12, 2.899000e-01, -1.490000e-01, 2.352333e-01, 1.055500e-01
1986, 13, 1.630714e-01, NaN, 1.088857e-01, 9.930000e-02
1986, 14, 1.390400e-01, -8.566667e-03, 1.642500e-01, 1.230000e-02
1986, 15, 1.558000e-01, 1.507500e-01, 1.512857e-01, 1.004000e-01
1986, 16, 1.604571e-01, 3.555000e-02, 1.472000e-01, -2.506667e-02
1986, 17, 1.882500e-01, 6.870000e-02, 1.772000e-01, 1.170000e-01
1986, 18, 8.032857e-02, 7.570000e-02, 9.060000e-02, 7.570000e-02
1986, 19, 1.418571e-01, 3.980000e-02, 1.486143e-01, 5.000000e-03
1986, 20, 1.792333e-01, 3.620000e-02, 1.667667e-01, 4.472500e-02
1986, 21, 1.504167e-01, 1.122000e-01, 1.666500e-01, 1.157000e-01
1986, 22, 9.418571e-02, 5.700000e-02, 9.622857e-02, 5.700000e-02
1986, 23, 1.375000e-01, -8.875000e-02, 1.437000e-01, 8.030000e-02
1986, 24, 1.732333e-01, 7.020000e-02, 1.488429e-01, 6.026000e-02
1986, 25, 1.841857e-01, 6.785000e-02, 1.769429e-01, 7.180000e-02
1986, 26, 2.011571e-01, 8.060000e-02, 1.918143e-01, -2.373333e-02
1986, 27, 1.727571e-01, 4.970000e-02, 1.573286e-01, 8.245000e-02
1986, 28, 2.623571e-01, 6.120000e-02, 1.803714e-01, -3.175000e-02
1986, 29, 2.416286e-01, 1.035000e-01, 2.043000e-01, 7.763333e-02
1986, 30, 2.274714e-01, 5.570000e-02, 1.916286e-01, 9.026667e-02
1986, 31, 1.864429e-01, -1.000000e-02, 1.709429e-01, 1.650000e-02
1986, 32, 2.645714e-01, 8.910000e-02, 2.205857e-01, 1.043000e-01
1986, 33, 2.513167e-01, NaN, 2.223000e-01, 1.276000e-01
1986, 34, 2.216167e-01, -8.805000e-02, 2.093714e-01, 2.600000e-02
1986, 35, 1.661429e-01, -6.500000e-03, 1.306429e-01, 3.686667e-02
1986, 36, 1.736333e-01, -4.026667e-02, 1.146714e-01, 5.616667e-02
1986, 37, 2.070000e-01, 9.190000e-02, 2.028000e-01, 1.098000e-01
1986, 38, 1.207000e-01, 1.301000e-01, 1.412571e-01, 7.938000e-02
1986, 39, 2.099571e-01, -5.720000e-02, 1.483714e-01, 1.042400e-01
1986, 40, 3.071667e-01, -2.060000e-02, 2.337429e-01, 1.340000e-02
1986, 41, 2.018000e-01, NaN, 1.819143e-01, 1.091500e-01
1986, 42, 1.958714e-01, -2.680000e-02, 1.588857e-01, -8.020000e-02
1986, 43, 1.244800e-01, NaN, 4.050000e-02, 2.500000e-02
1986, 44, 2.388429e-01, NaN, 1.893571e-01, 1.975000e-03
1986, 45, 1.169571e-01, NaN, 9.891667e-02, 4.155000e-02
1986, 46, 1.677286e-01, 5.750000e-02, 1.661143e-01, 7.820000e-02
1986, 47, 2.709286e-01, 6.785000e-02, 1.852571e-01, -2.733333e-02
1986, 48, 2.678429e-01, NaN, 1.972857e-01, 8.975000e-02
1986, 49, 3.052429e-01, 7.375000e-02, 2.785857e-01, 1.637000e-01
1986, 50, 1.219333e-01, 4.863333e-02, 1.239833e-01, 5.870000e-02
1986, 51, 1.905429e-01, -2.022000e-01, 1.485429e-01, 1.065000e-01
1986, 52, 2.375889e-01, -2.115000e-01, 2.313333e-01, -1.857000e-01
1987, 1, 1.542286e-01, 2.326667e-02, 1.266714e-01, 7.070000e-02
1987, 2, 2.619571e-01, NaN, 2.047857e-01, 4.616667e-02
1987, 3, 3.025714e-01, 8.876667e-02, 2.160571e-01, 8.285000e-02
1987, 4, 2.498714e-01, 1.505667e-01, 2.448714e-01, 1.505667e-01
1987, 5, 2.452143e-01, NaN, 2.512571e-01, NaN
1987, 6, 2.757429e-01, NaN, 2.187286e-01, 7.486667e-02
1987, 7, 2.232143e-01, NaN, 1.646000e-01, 4.917500e-02
1987, 8, 2.945429e-01, 1.536667e-02, 2.185571e-01, 9.290000e-02
1987, 9, 1.195500e-01, -1.070000e-01, 1.223500e-01, -1.473333e-02
1987, 10, 2.196500e-01, -8.520000e-02, 2.354286e-01, 8.710000e-02
1987, 11, 1.170286e-01, -3.675000e-03, 1.026571e-01, -7.150000e-02
1987, 12, 1.816000e-01, 5.625000e-02, 1.625857e-01, 7.277500e-02
1987, 13, 1.732857e-01, -6.430000e-02, 1.482429e-01, 2.883333e-02
1987, 14, 1.482857e-01, NaN, 1.468571e-01, 7.535000e-02
1987, 15, 1.086400e-01, 9.230000e-02, 9.008000e-02, 5.400000e-02
1987, 16, 2.134429e-01, -1.360000e-02, 1.709286e-01, 6.332500e-02
1987, 17, 1.783143e-01, 1.701000e-01, 1.696143e-01, 7.457500e-02
1987, 18, 1.553571e-01, 1.688000e-01, 1.635286e-01, NaN
1987, 19, 9.705000e-02, -4.566667e-02, 1.287833e-01, 2.368000e-02
1987, 20, 4.945714e-02, -4.143333e-02, 5.733333e-02, 6.696667e-02
1987, 21, 9.561667e-02, NaN, 8.884286e-02, NaN
1987, 22, 1.478714e-01, NaN, 1.443857e-01, 9.985000e-02
1987, 23, 4.031667e-02, 4.195000e-02, 5.600000e-02, 4.065000e-02
1987, 24, 1.497167e-01, -5.100000e-02, 1.287429e-01, 4.512500e-02
1987, 25, 9.383333e-02, 8.760000e-02, 8.865000e-02, 8.525000e-02
1987, 26, 1.763600e-01, 3.680000e-02, 1.749600e-01, NaN
1987, 27, 1.762714e-01, 9.460000e-02, 1.802000e-01, 9.565000e-02
1987, 28, 2.343500e-01, 7.105000e-02, 1.884714e-01, 5.493333e-02
1987, 29, 1.257200e-01, -3.015000e-02, 1.016600e-01, -1.056000e-01
1987, 30, 1.688500e-01, 5.115000e-02, 1.435714e-01, 5.410000e-02
1987, 31, 1.476714e-01, -7.720000e-02, 1.646286e-01, 1.223000e-01
1987, 32, 2.317571e-01, 7.680000e-02, 2.157000e-01, 4.460000e-02
1987, 33, 2.273429e-01, 2.915000e-02, 1.818857e-01, 6.440000e-02
1987, 34, 2.998000e-01, NaN, 1.772833e-01, 3.553333e-02
1987, 35, 1.713200e-01, 4.705000e-02, 1.900000e-01, 7.650000e-02
1987, 36, 1.031167e-01, NaN, 7.930000e-02, NaN
1987, 37, 1.542571e-01, 9.470000e-02, 1.334857e-01, 6.896667e-02
1987, 38, 1.228000e-01, 5.180000e-02, 1.286429e-01, 6.405000e-02
1987, 39, 2.781857e-01, 6.180000e-02, 2.440143e-01, 8.480000e-02
1987, 40, 3.041571e-01, 4.655000e-02, 2.318000e-01, 1.502000e-01
1987, 41, 2.526857e-01, NaN, 2.075571e-01, NaN
1987, 42, 1.186143e-01, 1.111000e-01, 6.778571e-02, 2.264000e-02
1987, 43, 1.818286e-01, 7.085000e-02, 2.092143e-01, 1.036000e-01
1987, 44, 2.298429e-01, 1.113600e-01, 1.667143e-01, 9.537500e-02
1987, 45, 2.321800e-01, 4.813333e-02, 1.276667e-01, -2.096667e-02
1987, 46, 2.564429e-01, 5.300000e-03, 2.295143e-01, -8.500000e-03
1987, 47, 1.881833e-01, -1.602000e-01, 1.809000e-01, NaN
1987, 48, 1.075714e-01, -3.226667e-02, 8.421429e-02, 5.190000e-02
1987, 49, 1.325500e-01, 7.820000e-02, 9.751667e-02, 4.076667e-02
1987, 50, 2.206857e-01, 2.363333e-02, 1.537429e-01, 3.230000e-02
1987, 51, 1.895714e-01, 8.533333e-03, 1.411857e-01, 8.800000e-03
1987, 52, 2.387500e-01, 3.615000e-02, 1.900556e-01, 1.281000e-01
